era5_latitude,era5_longitude,climate_annual_temperature_c,climate_m01_temperature_c,climate_m02_temperature_c,climate_m03_temperature_c,climate_m04_temperature_c,climate_m05_temperature_c,climate_m06_temperature_c,climate_m07_temperature_c,climate_m08_temperature_c,climate_m09_temperature_c,climate_m10_temperature_c,climate_m11_temperature_c,climate_m12_temperature_c,climate_annual_relative_humidity_pct,climate_m01_relative_humidity_pct,climate_m02_relative_humidity_pct,climate_m03_relative_humidity_pct,climate_m04_relative_humidity_pct,climate_m05_relative_humidity_pct,climate_m06_relative_humidity_pct,climate_m07_relative_humidity_pct,climate_m08_relative_humidity_pct,climate_m09_relative_humidity_pct,climate_m10_relative_humidity_pct,climate_m11_relative_humidity_pct,climate_m12_relative_humidity_pct,climate_annual_total_precipitation_mm,climate_total_total_precipitation_mm,climate_m01_total_precipitation_mm,climate_m01_total_total_precipitation_mm,climate_m02_total_precipitation_mm,climate_m02_total_total_precipitation_mm,climate_m03_total_precipitation_mm,climate_m03_total_total_precipitation_mm,climate_m04_total_precipitation_mm,climate_m04_total_total_precipitation_mm,climate_m05_total_precipitation_mm,climate_m05_total_total_precipitation_mm,climate_m06_total_precipitation_mm,climate_m06_total_total_precipitation_mm,climate_m07_total_precipitation_mm,climate_m07_total_total_precipitation_mm,climate_m08_total_precipitation_mm,climate_m08_total_total_precipitation_mm,climate_m09_total_precipitation_mm,climate_m09_total_total_precipitation_mm,climate_m10_total_precipitation_mm,climate_m10_total_total_precipitation_mm,climate_m11_total_precipitation_mm,climate_m11_total_total_precipitation_mm,climate_m12_total_precipitation_mm,climate_m12_total_total_precipitation_mm,climate_annual_snowfall_mm,climate_total_snowfall_mm,climate_m01_snowfall_mm,climate_m01_total_snowfall_mm,climate_m02_snowfall_mm,climate_m02_total_snowfall_mm,climate_m03_snowfall_mm,climate_m03_total_snowfall_mm,climate_m04_snowfall_mm,climate_m04_total_snowfall_mm,climate_m05_snowfall_mm,climate_m05_total_snowfall_mm,climate_m06_snowfall_mm,climate_m06_total_snowfall_mm,climate_m07_snowfall_mm,climate_m07_total_snowfall_mm,climate_m08_snowfall_mm,climate_m08_total_snowfall_mm,climate_m09_snowfall_mm,climate_m09_total_snowfall_mm,climate_m10_snowfall_mm,climate_m10_total_snowfall_mm,climate_m11_snowfall_mm,climate_m11_total_snowfall_mm,climate_m12_snowfall_mm,climate_m12_total_snowfall_mm,climate_annual_cloud_cover_pct,climate_m01_cloud_cover_pct,climate_m02_cloud_cover_pct,climate_m03_cloud_cover_pct,climate_m04_cloud_cover_pct,climate_m05_cloud_cover_pct,climate_m06_cloud_cover_pct,climate_m07_cloud_cover_pct,climate_m08_cloud_cover_pct,climate_m09_cloud_cover_pct,climate_m10_cloud_cover_pct,climate_m11_cloud_cover_pct,climate_m12_cloud_cover_pct,era5_lat_idx,era5_lon_idx
31.0,-86.5,19.2292,10.1534,12.2823,15.586,19.0476,23.2363,26.2169,26.9536,26.6519,24.8792,19.9924,14.4528,11.2976,71.2561,69.7801,68.4316,66.1445,67.1597,68.3615,73.0806,77.3179,78.0369,74.0697,69.7965,70.0687,72.8254,3.6717,44.0599,3.6394,109.1814,3.9581,118.742,3.7414,112.2427,3.1259,93.7757,2.7161,81.4819,4.2028,126.0834,4.9866,149.5972,4.745,142.3512,3.6018,108.0532,2.6148,78.4435,3.0677,92.0315,3.6605,109.8146,0.0031,0.0377,0.0066,0.1969,0.022,0.6585,0.0074,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0548,53.1326,56.4585,56.851,53.6992,50.5241,49.9939,56.4728,60.1219,59.1131,50.1718,42.459,45.2421,56.4838,74,154
33.75,-92.75,18.0107,6.924,9.122,13.5972,17.9791,22.4407,26.5942,28.2656,27.9728,24.47,18.3389,12.3165,8.1078,66.3706,67.5215,65.5641,63.0108,64.1931,68.2132,67.2774,66.4908,64.7193,64.4713,66.2535,68.2394,70.4932,3.7246,44.6949,3.5868,107.604,3.8781,116.3445,4.4877,134.6302,4.8931,146.7943,4.4729,134.1858,3.3423,100.2693,2.8987,86.9617,2.4999,74.9969,3.1858,95.5753,3.6898,110.6939,3.5628,106.885,4.1969,125.9069,0.0245,0.2936,0.1101,3.3035,0.1378,4.1347,0.024,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0017,0.0501,0.0199,0.5965,50.8201,56.1066,59.3817,56.9215,52.2123,55.3574,48.9789,48.126,44.8119,40.579,41.0236,50.4753,55.867,63,129
34.5,-91.5,17.4195,5.899,8.1325,12.7392,17.5814,22.193,26.3647,27.9823,27.5037,23.951,17.8028,11.6154,7.2685,66.2988,67.7627,65.1733,62.1353,62.3947,66.7851,67.601,68.4376,66.9187,65.5259,65.639,67.1095,70.1021,3.516,42.1919,3.4335,103.0064,3.6903,110.7082,4.197,125.9098,4.5104,135.3121,4.3119,129.3583,2.84,85.1994,2.75,82.5005,2.5199,75.5978,2.7909,83.7269,3.3665,100.9951,3.5004,105.011,4.2811,128.4332,0.0263,0.3153,0.0951,2.852,0.1437,4.3111,0.0337,1.0114,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0353,0.005,0.1497,0.0366,1.0986,50.7428,56.2494,59.1095,57.1184,52.249,54.6644,48.9113,48.0046,44.1688,40.3856,41.6925,50.2848,56.0749,60,134
36.0,-94.0,14.4244,2.5314,4.9399,9.5173,14.3517,18.8822,23.4733,25.5662,24.9607,21.0218,15.0411,8.7959,4.0116,68.3762,67.6921,64.4953,62.9393,64.9746,72.8499,72.6433,71.004,69.8437,68.995,67.6739,67.809,69.594,3.3217,39.8602,2.3876,71.6267,2.6951,80.8535,3.8248,114.7432,4.6382,139.1458,4.7488,142.4637,3.5426,106.2794,2.8293,84.8789,2.6649,79.9484,3.2001,96.0045,3.2965,98.8951,3.3672,101.016,2.6651,79.9522,0.0913,1.0955,0.2882,8.647,0.3094,9.2816,0.1951,5.8527,0.0058,0.175,0.0104,0.3123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.1135,0.0433,1.2994,0.2395,7.185,51.1546,54.7525,58.0289,56.6641,54.2372,57.9221,51.0801,45.357,44.4245,42.0022,43.4471,50.5324,55.4068,54,124
36.25,-94.0,14.6403,2.5306,4.9536,9.6342,14.5972,19.1991,23.8304,26.0144,25.3541,21.2723,15.2313,8.9819,4.0851,68.3368,68.2204,65.0986,63.1724,64.5733,72.2717,72.224,70.1691,69.1993,69.1381,67.938,67.9821,70.0552,3.0361,36.4334,2.1932,65.7959,2.3989,71.9671,3.4987,104.9614,4.2217,126.6518,4.2134,126.4019,3.3878,101.635,2.5101,75.304,2.5042,75.1266,3.1169,93.5078,3.0146,90.4369,2.985,89.55,2.3888,71.6629,0.0952,1.1422,0.3087,9.2616,0.3112,9.3374,0.2038,6.114,0.005,0.1493,0.0098,0.2942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.1125,0.0493,1.4796,0.2505,7.5164,51.0608,54.9873,58.11,56.5725,54.1508,57.4727,50.7084,44.6295,44.2113,42.0295,43.5528,50.5713,55.7337,53,124
34.75,-92.5,16.8875,5.229,7.5025,12.1025,16.9567,21.5094,25.9391,27.7514,27.2099,23.4032,17.3482,11.1004,6.597,67.0975,68.5568,66.3084,63.6829,63.7829,68.9027,68.1188,67.5835,66.6512,66.4461,65.9283,68.2429,70.9654,3.4524,41.4291,2.9008,87.0228,3.321,99.6294,4.1541,124.6243,4.4103,132.3099,4.7857,143.5699,2.8221,84.6634,2.9738,89.2143,2.4355,73.0648,3.0532,91.5966,3.1117,93.3504,3.7134,111.4006,3.7476,112.4268,0.0378,0.4537,0.1187,3.5605,0.2116,6.3491,0.041,1.2298,0.0003,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0458,0.0056,0.1683,0.0749,2.2459,50.7771,55.3951,58.7393,56.814,52.2259,55.9061,49.8812,47.5334,44.5692,40.5892,42.1144,50.5088,55.0486,59,130
35.5,-93.5,15.4405,3.5696,5.9752,10.525,15.2918,19.9024,24.5209,26.5504,26.0707,22.1824,15.96,9.7038,5.0343,68.8297,68.3423,65.3304,63.9475,66.2555,72.8421,72.2311,70.9246,69.0647,68.0888,68.7134,69.3143,70.9015,3.5893,43.0711,3.0898,92.6952,3.4581,103.7416,4.4364,133.0919,5.1657,154.9711,4.936,148.0789,3.0922,92.7658,2.5984,77.9514,2.1201,63.6024,2.9926,89.777,3.5902,107.7051,4.0955,122.8647,3.4963,104.888,0.0491,0.5894,0.1723,5.1689,0.1933,5.7993,0.0803,2.4085,0.0013,0.0396,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0544,0.0146,0.4377,0.1257,3.7713,50.5676,53.9501,57.437,56.1369,52.9378,57.3103,50.9605,46.0986,43.8602,40.6905,42.8753,50.3165,54.2373,56,126
33.5,-91.25,18.2407,7.2715,9.467,13.8593,18.3819,22.8182,26.6119,28.1405,27.8656,24.7094,18.616,12.5795,8.5681,67.7392,68.9479,66.7941,63.8985,64.1971,67.9252,69.5662,70.0635,68.0786,66.4081,67.255,68.5346,71.2017,3.6216,43.4595,3.9019,117.0568,4.3498,130.4951,4.416,132.4787,4.6923,140.7681,3.8138,114.4142,3.0228,90.6849,2.828,84.8408,2.5821,77.4632,2.867,86.01,3.495,104.8508,3.2468,97.4026,4.244,127.3212,0.0163,0.1953,0.0917,2.7523,0.0688,2.0652,0.0157,0.4702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0749,0.0165,0.4959,50.7135,56.8308,60.0257,56.643,52.2253,53.2821,48.1072,49.0434,44.6389,40.4468,40.798,49.6309,56.8894,64,135
36.0,-94.25,14.7315,2.7482,5.1972,9.812,14.6346,19.1911,23.8214,25.9835,25.4128,21.3652,15.3297,9.0526,4.2293,67.8325,67.2995,64.1826,62.5088,64.5699,72.4379,72.1127,70.0419,68.5149,68.4523,67.2023,67.4051,69.2625,3.3049,39.6593,2.3169,69.5057,2.5925,77.774,3.7426,112.277,4.7442,142.3254,4.7385,142.1547,3.5922,107.7671,2.8575,85.7258,2.5273,75.819,3.3113,99.3385,3.3805,101.4147,3.2562,97.6868,2.5997,77.9896,0.087,1.0436,0.2785,8.3542,0.2863,8.5893,0.1875,5.6262,0.0035,0.1044,0.0097,0.2909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0985,0.0446,1.339,0.2302,6.9065,50.755,54.3652,57.6204,56.3544,53.9011,57.6232,50.6814,44.6604,43.8496,41.6851,43.1887,50.14,54.9905,54,123
35.0,-90.75,17.1343,5.3335,7.57,12.2456,17.351,22.0972,26.3272,27.8362,27.2625,23.7858,17.6044,11.3103,6.888,65.3127,66.9369,64.3556,61.015,60.5717,64.9143,66.3257,68.2612,66.9862,64.904,64.541,65.8801,69.0607,3.5485,42.5824,3.3991,101.9745,3.8022,114.0652,4.2436,127.3069,4.4449,133.3456,4.1143,123.4303,3.0717,92.1497,3.0525,91.5737,2.5382,76.1471,2.6693,80.0781,3.3548,100.6451,3.6053,108.16,4.2865,128.5954,0.0307,0.3685,0.1034,3.1033,0.1581,4.7431,0.0469,1.4076,0.0003,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0587,0.0117,0.3514,0.0461,1.3843,51.432,56.8826,59.8784,57.8102,52.7777,55.1299,49.9269,48.8284,44.6598,41.1665,42.4024,50.7029,57.0185,58,137
35.25,-94.0,16.513,4.5681,7.0508,11.6454,16.3872,21.0059,25.6015,27.7467,27.2389,23.1941,16.9385,10.7484,6.0308,67.1937,67.8189,64.9834,63.1538,64.535,70.5804,69.8656,67.2583,65.9442,66.5833,67.6653,68.0265,69.9091,3.2141,38.5692,2.652,79.5593,2.9002,87.0056,3.8539,115.6158,4.5191,135.5743,4.5684,137.0506,3.0854,92.5617,2.4318,72.9542,2.0251,60.7529,2.8974,86.9217,3.246,97.3787,3.3396,100.1873,3.0505,91.5136,0.0441,0.5293,0.165,4.951,0.1786,5.3592,0.067,2.0099,0.0011,0.0334,0.0004,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0048,0.0136,0.4067,0.1034,3.1018,49.7936,53.7903,57.0698,55.8684,52.176,56.1108,49.5535,44.5861,42.4599,40.4784,42.0522,49.5944,53.7827,57,124
34.5,-93.25,16.7596,5.3908,7.6035,12.0494,16.6568,21.1549,25.5214,27.3651,26.9808,23.3057,17.2659,11.1136,6.707,66.7235,67.2402,65.1263,63.1249,64.0574,69.3451,68.7716,67.4706,66.0089,65.647,66.1195,67.9483,69.8226,3.4881,41.8567,2.892,86.7605,3.5044,105.1321,4.4215,132.6437,4.5725,137.1736,4.681,140.4285,2.8823,86.4697,2.8133,84.3983,2.2561,67.6842,3.0073,90.2195,3.275,98.2513,3.8506,115.5186,3.7007,111.0201,0.0379,0.4546,0.1272,3.8166,0.2041,6.1226,0.0433,1.3003,0.0001,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0315,0.0049,0.1478,0.0738,2.2154,51.0519,55.4017,59.0019,57.4262,52.4734,56.8945,50.3295,47.6097,44.6625,40.6707,42.3482,50.5284,55.2763,60,127
35.25,-91.75,16.5051,4.5007,6.8352,11.5375,16.6716,21.3773,25.87,27.6096,26.994,23.11,16.9637,10.6215,5.9702,66.3613,68.2383,65.2946,62.5514,62.3316,67.4256,67.1193,67.7344,66.5587,66.1167,65.3005,67.2079,70.4561,3.5421,42.5048,3.1903,95.7098,3.6059,108.1762,4.3552,130.6562,4.6655,139.9651,4.4309,132.9269,2.9122,87.3661,2.9281,87.8429,2.5212,75.6359,2.8332,84.9953,3.3045,99.1364,3.8391,115.1733,3.9186,117.5594,0.0406,0.4869,0.1219,3.6569,0.1894,5.6806,0.0652,1.9546,0.0006,0.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0691,0.0112,0.3347,0.0964,2.8925,51.0876,55.8121,58.857,57.1039,52.7812,56.1035,49.8883,47.7695,44.6381,40.6685,42.8123,50.7472,55.8694,57,133
35.25,-93.75,16.0984,4.1729,6.6186,11.2046,15.9881,20.6406,25.2142,27.253,26.7398,22.771,16.5592,10.3635,5.6552,69.1576,69.2886,66.4031,64.6943,66.068,72.1125,71.9308,70.2438,68.988,68.9926,69.6048,69.8973,71.6675,3.5443,42.5315,2.8181,84.5432,3.1918,95.7527,4.1902,125.7048,5.0172,150.5156,5.0168,150.5032,3.4767,104.3015,2.8249,84.7473,2.3993,71.9795,3.1764,95.293,3.5579,106.7371,3.6339,109.0183,3.2283,96.8475,0.0468,0.562,0.1677,5.0316,0.1949,5.8479,0.0764,2.2907,0.0014,0.0415,0.0003,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0153,0.0125,0.3748,0.1083,3.2492,50.7114,54.3417,57.6438,56.3074,52.6493,57.1341,50.8066,46.6573,43.9267,41.1618,43.0491,50.3855,54.4731,57,125
